PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
Shai Gilgeous-Alexander,43,7,0.48,0.69,2,6.6,3.1,0.7,1,1.7,22.1,8,16.6,4.1,5.9,-0.003536529,-0.493908129,0.592326525,0.401865372,0.086186709,-0.514709993,0.504780604,0.163222929,1.329291334
Marcus Morris,44,8,0.43,0.84,2.5,5.3,1,1.4,0.9,1.9,17.9,5.6,13.1,4.1,4.9,-0.592958001,0.410685514,1.11930742,-0.066887417,-0.900146202,0.82219908,0.352048197,-0.027681082,0.625829656
Jeremy Lamb,45,5,0.46,0.85,1.2,6.4,2.2,1.4,0.8,1.2,17,6.2,13.6,3.4,4,-0.239305118,0.470991757,-0.250842906,0.329749559,-0.336527396,0.82219908,0.199315791,0.640482956,0.475087868
Ben Simmons,46,7,0.5,0.56,0,5.4,6.9,3,0.4,3.7,13.1,5.6,11.3,2,3.6,0.23223206,-1.277889287,-1.515597052,-0.03082951,1.870979597,3.877991245,-0.411613836,-1.745817177,-0.178126546
Tristan Thompson,47,7,0.53,0.56,0.1,11.7,2.7,0.4,1.6,0.4,16.9,7.4,13.9,1.9,3.4,0.585884943,-1.277889287,-1.410200874,2.240818624,-0.101686226,-1.087671024,1.421175044,1.404098998,0.458338781
Brandon Clarke,48,7,0.61,0.93,0.3,6.4,1,0.9,1.7,0.9,11.3,4.9,8,1.3,1.4,1.528959298,0.9534417,-1.199408516,0.329749559,-0.900146202,-0.132735972,1.573907451,0.926838971,-0.479610122
Devonte' Graham,49,7,0.43,0.82,3,3.9,6.7,0.6,0.1,2.6,17.3,5.1,12,4,4.9,-0.592958001,0.290073028,1.646288314,-0.571698114,1.777043129,-0.705697003,-0.869811056,-0.695845119,0.525335131
Lonzo Ball,50,7,0.43,0.64,2.4,4.6,6.7,1.6,0.1,2.1,12.4,4.6,10.6,0.9,1.4,-0.592958001,-0.795439344,1.013911241,-0.319292766,1.777043129,1.2041731,-0.869811056,-0.218585092,-0.295370159
Ja Morant,51,7,0.52,0.77,0.9,3.7,5.3,1.3,0.3,4.3,20.4,8,15.3,3.6,4.7,0.468000649,-0.011458186,-0.567031442,-0.643813928,1.119487854,0.631212069,-0.564346243,-2.318529209,1.044556845
Hassan Whiteside,52,6,0.66,0.71,0,12,0.7,0.5,1.3,2.3,14.3,5.8,8.8,2.7,3.8,2.11838077,-0.373295643,-1.515597052,2.348992345,-1.041050904,-0.896684014,0.962977824,-0.409489103,0.022862505
